,Rv0678,Rv2983,atpE,ddn,eis,embB,ethA,fabG1,fbiA,fbiB,fbiC,fgd1,gid,gyrA,gyrB,inhA,katG,mmpL5,pepQ,pncA,rplC,rpoB,rpsL,rrl,rrs,tlyA
Rv0678,1.0,0.8001373389502222,0.9534384948371825,0.9242948262032066,0.8449993714231631,0.4269701942495975,0.7956016633496196,0.25810636714014235,0.7966502564355865,0.8779327875632505,0.7984092342825396,0.0988091779912852,0.2300172006424279,-0.24569984714649407,0.6119566098580513,0.9265589236792937,-0.47894496442672535,-0.1870243269010291,0.9182478166537452,-0.6259533640582574,0.9248575915148304,0.1046909428480678,0.9032792234116583,0.7081493039248554,0.866015803706587,-0.1266609588440096
Rv2983,0.8001373389502222,0.9999999999999999,0.8088710771730728,0.7852043521902431,0.7259864814184323,0.4775290584374168,0.6628633857906858,0.3076435487497509,0.7971435415032012,0.7427248158330011,0.671679345643981,0.12021364023894772,0.230167249874041,-0.1953558844958112,0.6125675410794498,0.7868607210562099,-0.4238395704120856,-0.16158072058284442,0.786670499486784,-0.5834775030267377,0.7805876828318469,0.13233094073223836,0.7708286237553856,0.6694434529284419,0.7334118473650016,-0.11492801124844622
atpE,0.9534384948371823,0.8088710771730728,1.0,0.9340490871314717,0.8523268756797904,0.4337394187166364,0.8198897283186024,0.26824744912786774,0.8055276930726338,0.8879886166478193,0.8260336297800575,0.09899589721600936,0.23254935914955255,-0.24278138293182508,0.6316271616477485,0.9517987929859986,-0.4871191730237089,-0.18606447145289817,0.9289989660426412,-0.6358371218100975,0.9321580184971107,0.10520602803618778,0.9143885718801017,0.7267138849940641,0.8786256828483195,-0.1249850112048106
ddn,0.9242948262032066,0.7852043521902431,0.9340490871314717,0.9999999999999999,0.8307795977916992,0.4284528548625869,0.8016109570520791,0.259932919169729,0.7779540842578908,0.8619665115663805,0.7944353561096105,0.0906227771419782,0.21932217789327796,-0.23906331086731256,0.613403895719097,0.9091182247513508,-0.4729460666340082,-0.18268618619564522,0.9055497961174382,-0.6200965367857537,0.910629363074867,0.09936776388192944,0.896517278297038,0.6988902351740383,0.8599906125471319,-0.12646350496655992
eis,0.844999371423163,0.7259864814184323,0.8523268756797904,0.8307795977916993,1.0,0.44161488208592437,0.7111291342295195,0.22557591435571273,0.7175180180237893,0.7943928011818913,0.7275227252809896,0.12269214745553371,0.24092436092587244,-0.20835750104206446,0.5513829102118201,0.8256952397353559,-0.43366644255668907,-0.16067737557407724,0.8261361588931714,-0.5863393561000146,0.8327187852915362,0.15004809901102628,0.816751554892164,0.6334263836551486,0.7883395777991122,-0.11372325697747468
embB,0.42697019424959753,0.47752905843741683,0.43373941871663635,0.4284528548625869,0.44161488208592437,1.0,0.43282195659145223,0.18381308836243643,0.542750605691584,0.38989517759997183,0.3977226659350348,0.08679658040029664,0.16934710615256132,-0.029574027366621108,0.5614649839497486,0.4235483569638253,-0.2752890109408223,0.13324619679526065,0.4184865705171288,-0.3996141694486074,0.43571117281701593,0.1513471285258147,0.4180450238055844,0.39494632965412607,0.3892216267062758,0.19394129372501076
ethA,0.7956016633496196,0.6628633857906859,0.8198897283186024,0.8016109570520791,0.7111291342295195,0.4328219565914522,1.0,0.23157754438306635,0.6727522697432329,0.7450063059001013,0.7144207245686486,0.1386221363456353,0.258194607706685,-0.1658561862349108,0.6069945010829063,0.789692970511932,-0.419843100133979,-0.1267357948855276,0.7762161815279415,-0.5731262874242544,0.8020221620367064,0.14815616027235873,0.7750959082714264,0.5976301611385427,0.7524954409161851,-0.08984367499525346
fabG1,0.25810636714014235,0.3076435487497509,0.26824744912786774,0.25993291916972905,0.22557591435571273,0.18381308836243643,0.23157754438306635,1.0,0.26691815761608567,0.2550756308016678,0.23763279381870855,0.1825927745887657,0.14658131280083717,0.5901781740856047,0.23788564359016373,0.25278079799497744,-0.198219511089911,0.3103921557928843,0.2589138433085138,-0.36889838685722975,0.2590102404827469,0.17095751762031888,0.2573891089341153,0.2721335424051983,0.24833226686677545,0.14190144316035944
fbiA,0.7966502564355865,0.7971435415032011,0.8055276930726337,0.7779540842578909,0.7175180180237893,0.542750605691584,0.6727522697432329,0.26691815761608567,1.0,0.7344815908364526,0.6662570290156438,0.09251960715499709,0.2014817271505218,-0.20483800727733512,0.6022486706844346,0.7767933559446791,-0.4372140651992188,-0.023427895873688903,0.7795264499349531,-0.5776340673992507,0.7736802699875369,0.12074944437953405,0.7574557881547377,0.6496538120002813,0.7308982651808962,0.10190394906694923
fbiB,0.8779327875632507,0.7427248158330011,0.8879886166478194,0.8619665115663806,0.7943928011818912,0.38989517759997183,0.7450063059001013,0.2550756308016678,0.7344815908364525,1.0,0.7606301644070503,0.11147899409563003,0.23099903288671636,-0.2126738246731701,0.5746454212296187,0.8785663190293087,-0.45489408026344685,-0.1539973577329092,0.8578213762515435,-0.5983084918032721,0.8765434452583912,0.12467812642472993,0.8462693737995317,0.6702529323325537,0.8053732678918388,-0.09725644868671256
fbiC,0.7984092342825396,0.6716793456439811,0.8260336297800575,0.7944353561096105,0.7275227252809896,0.39772266593503475,0.7144207245686486,0.23763279381870855,0.6662570290156438,0.7606301644070502,0.9999999999999999,0.10387209282820198,0.2017301680155252,-0.18590269302931467,0.5664188568757239,0.7999202022973664,-0.4264732700025991,-0.13307421838865122,0.7887656497423788,-0.5592347504127649,0.7891285911310353,0.09496191444539095,0.7886108406669753,0.615745897111177,0.753692301427804,-0.08632327348701753
