gene,mean_attn_all,mean_attn_susceptible,mean_attn_resistant,diff_R_minus_S
pncA,0.230390,0.048241,0.540788,0.492547
katG,0.135863,0.026102,0.322907,0.296805
fabG1,0.039751,0.050855,0.020828,-0.030027
atpE,0.035004,0.052784,0.004706,-0.048078
Rv0678,0.034541,0.052190,0.004466,-0.047723
rpsL,0.034475,0.051585,0.005319,-0.046267
rplC,0.034328,0.051832,0.004501,-0.047330
ddn,0.034271,0.051705,0.004564,-0.047141
inhA,0.034260,0.051769,0.004424,-0.047346
pepQ,0.034078,0.051427,0.004515,-0.046912
fbiB,0.033321,0.050121,0.004692,-0.045429
rrs,0.032792,0.049321,0.004626,-0.044695
fbiA,0.032767,0.049085,0.004960,-0.044125
eis,0.032471,0.048723,0.004777,-0.043946
Rv2983,0.032170,0.048084,0.005051,-0.043033
ethA,0.031487,0.047538,0.004135,-0.043403
fbiC,0.031263,0.046895,0.004627,-0.042268
rrl,0.028939,0.043290,0.004483,-0.038808
gyrB,0.026248,0.039401,0.003833,-0.035568
embB,0.021206,0.031137,0.004283,-0.026854
fgd1,0.014960,0.019367,0.007450,-0.011917
rpoB,0.012779,0.016910,0.005740,-0.011170
gid,0.011998,0.017528,0.002574,-0.014954
gyrA,0.005107,0.001001,0.012103,0.011103
mmpL5,0.003206,0.001643,0.005869,0.004226
tlyA,0.002329,0.001479,0.003779,0.002300
