,Rv0678,Rv2983,atpE,ddn,eis,embB,ethA,fabG1,fbiA,fbiB,fbiC,fgd1,gid,gyrA,gyrB,inhA,katG,mmpL5,pepQ,pncA,rplC,rpoB,rpsL,rrl,rrs,tlyA
Rv0678,1.0,0.7597658141860355,0.9210148577012616,0.9227824027096327,0.8781279201480329,0.41032630281611526,0.7469024992666963,0.08379932138297325,0.6826237963241594,0.9260373515665217,0.8828229612774093,0.15893284343731082,0.3258109346146446,-0.0507038151238472,0.6986266249426911,0.93070231789338,-0.19752745428515683,-0.025237498251382336,0.94855593640327,-0.2992660225337444,0.9157092349824283,0.10843941082902228,0.8351431513302428,0.7926583608395844,0.9284332771532366,-0.0027426039751020565
Rv2983,0.7597658141860355,1.0,0.7504028479173533,0.746664613786644,0.7297053263350005,0.38733768606589164,0.5865837449682201,0.18241838732663346,0.606815981372015,0.7428863489435432,0.7127586300672668,0.17375020770461855,0.29182646075752205,0.02788466134149705,0.6205390236724355,0.7684322767315332,-0.15277689918908752,-0.004767439069247236,0.7848714245726556,-0.29953725103508433,0.7348440335066919,0.1619207488875558,0.6991647410462037,0.6703330963471501,0.7544339367763723,-0.0030664216627327824
atpE,0.9210148577012616,0.7504028479173533,0.9999999999999998,0.9053674490650193,0.866316752369933,0.3996064960230156,0.7406268861476363,0.10283305301453774,0.6745429224864169,0.9390004335815727,0.8810085964748603,0.15013963956417112,0.33115437373317547,-0.032128907382164784,0.7247703568185511,0.9399369789937225,-0.1998912171064041,-0.007138400239783539,0.9343069625541881,-0.2998359752940245,0.8929170294091264,0.09499430777077562,0.8221492244773843,0.7927219575043251,0.9204015116248835,0.009854660310058425
ddn,0.9227824027096327,0.746664613786644,0.9053674490650193,1.0,0.8631321668903325,0.4045906860470482,0.7490627341130038,0.10159531285311264,0.6799576943974684,0.9113588669159504,0.8652447764618065,0.15337292761723303,0.28819835254670695,-0.039124645792054234,0.7043400074642369,0.9149692565126135,-0.19270407709422194,-0.01846879504422604,0.9364985453703915,-0.30203440390768355,0.8898450202386909,0.10495946813104762,0.8489259580723019,0.7876648588909354,0.9156640187498949,-0.008690917237908569
eis,0.8781279201480329,0.7297053263350005,0.8663167523699331,0.8631321668903323,1.0,0.40745179148225713,0.6804395559579122,0.08376669513380068,0.6548397653397166,0.8583316852834444,0.8137796218441008,0.19307028203933307,0.3215285461291253,0.0070165070635274255,0.6546267116326737,0.8743979695681626,-0.1710086166546558,0.015348352152992411,0.9057911012334336,-0.31215310007374286,0.8500972453367479,0.17789397870848356,0.8271500531137482,0.736240260615098,0.8745147989106852,0.004626299606430705
embB,0.41032630281611526,0.3873376860658917,0.3996064960230156,0.4045906860470482,0.40745179148225713,1.0,0.40715490977527297,0.13563454040745565,0.7258970178912661,0.39536592806713516,0.3941080069473893,0.15709727017260317,0.26199403578106306,0.20743807985772253,0.4913383059263776,0.4180803245306274,-0.13019418449345013,0.5119864219654754,0.40397239714377775,-0.25528779943139246,0.42862568341440105,0.3585633328383117,0.39366443268875156,0.4177856102960084,0.4045038402393646,0.6109172824724604
ethA,0.7469024992666963,0.5865837449682202,0.7406268861476364,0.749062734113004,0.6804395559579122,0.4071549097752729,0.9999999999999999,0.1120234214701242,0.5284292920325628,0.7204207729441426,0.7455853370299613,0.24429377674460262,0.3863278415721368,0.12360537042833113,0.642376104544971,0.7350675894234346,-0.15609569522351732,0.09342818522576041,0.7535439305136338,-0.2988606629013012,0.7225366069835218,0.24772509680073337,0.7053726439005681,0.6357809822696178,0.7516054103428578,0.06052542612813452
fabG1,0.08379932138297325,0.18241838732663346,0.10283305301453773,0.10159531285311266,0.08376669513380068,0.13563454040745565,0.11202342147012419,1.0,0.06833198825426327,0.12592213412063125,0.13445953250989898,0.25983306743039103,0.3081427505171441,0.7254474475343932,0.18534154092525945,0.08816618638485438,-0.08433161470623295,0.4451595399656104,0.09733423685174745,-0.27084422224457594,0.0859107015359565,0.27220012129820914,0.10361894465906246,0.21969896739930805,0.10915068697013379,0.21315304088703502
fbiA,0.6826237963241594,0.606815981372015,0.6745429224864169,0.6799576943974684,0.6548397653397167,0.7258970178912661,0.5284292920325628,0.06833198825426327,1.0,0.6676344710489107,0.6394838898102863,0.10898492197840014,0.2296751347146579,-0.015577029185631691,0.549939963261009,0.6891367811011431,-0.17671412182133864,0.2846659034079118,0.7054485367142704,-0.2671182525223289,0.6600924677488738,0.13491880328329395,0.6117641143444699,0.6008702533511006,0.677907703599781,0.4827850926447508
fbiB,0.9260373515665217,0.7428863489435431,0.9390004335815727,0.9113588669159504,0.8583316852834444,0.39536592806713516,0.7204207729441425,0.12592213412063125,0.6676344710489108,1.0,0.8487998363510395,0.149096509557771,0.33502228764433173,-0.007840140529660606,0.721590163928648,0.9187517376515942,-0.19830151621337175,-0.000613572535376047,0.9267198469754387,-0.3030232143917964,0.8936957063808949,0.10181827648621711,0.8220183848471303,0.7741887969472433,0.9081773319396725,0.0013714737676053669
