phenotype,Rv0678,Rv2983,atpE,ddn,eis,embB,ethA,fabG1,fbiA,fbiB,fbiC,fgd1,gid,gyrA,gyrB,inhA,katG,mmpL5,pepQ,pncA,rplC,rpoB,rpsL,rrl,rrs,tlyA
Susceptible,0.05263158,2.9488103e-30,0.05263158,0.05263158,0.05263158,6.0190795e-28,0.05263158,0.05263158,0.05263158,0.05263158,1.8677428e-27,0.05263158,0.05263158,9.11773e-29,0.05263158,0.05263158,0.05263158,1.583168e-28,0.05263158,0.05263158,0.05263158,0.05263158,0.05263158,1.4064084e-27,0.05263158,9.261782e-27
Susceptible,0.05882353,0.05882353,0.05882353,0.05882353,0.05882353,0.05882353,0.05882353,9.8703016e-26,0.05882353,0.05882353,0.05882353,1.421806e-25,6.241038e-23,7.2353055e-25,0.05882353,0.05882353,1.2080187e-28,8.937137e-25,0.05882353,1.143789e-30,0.05882353,1.4878312e-24,0.05882353,0.05882353,0.05882353,4.461936e-23
Susceptible,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,5.1588596e-20,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,3.1752984e-21,6.172112e-19,1.2874132e-20,0.055555556,0.055555556,3.9617537e-24,2.6996572e-20,0.055555556,0.055555556,0.055555556,2.813117e-20,0.055555556,0.055555556,0.055555556,7.6270085e-19
Susceptible,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,2.402917e-18,0.04761905,0.04761905,0.04761905,0.04761905,3.3340462e-18,0.04761905,0.04761905,4.6441616e-19,0.04761905,0.04761905,0.04761905,7.7157753e-19,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,1.9868225e-17
Susceptible,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,3.551461e-18,0.04347826,0.04347826,0.04347826,5.6070467e-18,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,1.3238192e-16
Susceptible,0.05882353,0.05882353,0.05882353,0.05882353,2.4532373e-14,4.9430068e-14,0.05882353,0.05882353,0.05882353,0.05882353,0.05882353,9.183143e-15,2.2647284e-13,2.2177318e-14,0.05882353,0.05882353,1.290079e-16,3.8460144e-14,0.05882353,0.05882353,0.05882353,3.6123204e-14,0.05882353,0.05882353,0.05882353,2.5086912e-13
Susceptible,0.05,0.05,0.05,0.05,0.05,4.7145886e-16,0.05,0.05,0.05,0.05,0.05,4.1958796e-17,0.05,1.1146602e-16,0.05,0.05,0.05,2.1670265e-16,0.05,0.05,0.05,2.0459238e-16,0.05,0.05,0.05,4.34781e-15
Susceptible,0.0625,0.0625,0.0625,0.0625,0.0625,5.9040586e-31,0.0625,0.0625,9.655858e-30,0.0625,0.0625,1.0348741e-32,2.6004962e-29,7.6189067e-32,8.0840375e-30,0.0625,1.191403e-36,1.7583877e-31,0.0625,0.0625,0.0625,2.6184713e-31,0.0625,0.0625,0.0625,1.7508528e-29
Susceptible,0.0625,0.0625,0.0625,0.0625,0.0625,4.1584613e-17,1.3438997e-16,0.0625,0.0625,0.0625,0.0625,5.0367673e-18,3.483564e-16,1.5112975e-17,1.8060018e-16,0.0625,3.6477017e-20,2.8512922e-17,0.0625,0.0625,0.0625,3.0378373e-17,0.0625,0.0625,0.0625,3.211132e-16
Susceptible,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,6.367721e-14,0.045454547,0.045454547,0.045454547,0.045454547,5.947083e-15,0.045454547,0.045454547,0.045454547,7.732411e-15,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,7.834762e-14
