gene,mean_attn
TolC/OpmH,0.004481153
rpoC,0.004389696
EmrAB-TolC,0.0043619834
adeB,0.004354011
folP,0.0043200627
Iso-tRNA,0.004278362
OXA-51 family,0.0042537367
gyrA,0.0042474237
KatG,0.004204995
adeH,0.004164216
Ddl,0.0041495315
MacB,0.004144038
BcrC,0.004118078
MacA,0.0041081747
APH(6)-Ic/APH(6)-Id,0.004105925
adeJ,0.0040857214
OXA-23 family,0.004060411
TEM-1,0.004057668
sul2,0.004051294
Tet(B),0.00405107
sul1,0.0040487433
adeI,0.004045346
QacE,0.004043715
APH(3')-VIa,0.004039808
"inhA, fabI",0.0040320307
abeM,0.0040274966
APH(3')-III/APH(3')-IV/APH(3')-VI/APH(3')-VII,0.004020433
adeF,0.00401532
Alr,0.004015207
HtdX,0.004013941
APH(3')-Ia,0.004010666
Msr(E),0.0040037963
LpxA,0.0040018847
ADC family,0.0039988453
"folA, Dfr",0.0039983355
APH(3'')-I,0.003998169
msrE,0.0039922805
MurA,0.0039864653
adeA,0.003983137
FabG,0.0039788396
mexT,0.0039786543
tetA,0.0039769136
aph(3')-VI,0.003976099
rpoB,0.003969675
aph(3'')-Ib,0.00396883
aadA,0.0039647594
mph(E),0.0039638504
gyrB,0.0039629494
OXA-23,0.0039546364
APH(3'')-Ib,0.0039463397
tetC,0.0039434824
rpsL,0.0039294558
S12p,0.00392586
ant(3'')-II,0.00392504
tet(B),0.0039229407
EF-G,0.0039223465
TEM family,0.003921935
AAC(1),0.003920947
pgsA,0.0039207
gidB,0.003920319
ADC-2,0.0039192312
OXA-69,0.003917744
dxr,0.00391711
ANT(2'')-Ia,0.0039163004
EF-Tu,0.0039146803
OXA-66,0.0039102174
OXA-71,0.003909907
GdpD,0.0039094305
APH(3')-I,0.0039078677
bpeF,0.0039028514
Tet(A),0.0038979799
abeS,0.0038978453
OxyR,0.003895903
folA,0.0038948369
mexB,0.0038903698
aphE,0.0038893942
aph(6)-I,0.0038889688
AAC(6')-Ia (and related AACs),0.0038857078
tetR,0.00388568
Mph(E)/Mph(G) family,0.003885206
AAC(6')-Iaf,0.0038851483
rplF,0.0038840584
PER family,0.0038834075
folP_2,0.0038832796
oprC,0.0038831048
parC,0.003879921
catB8,0.0038796347
murA,0.0038794677
aadA24,0.0038788943
S10p,0.0038777988
OXA-58 family,0.003877202
adeC,0.0038759725
fusA,0.0038755587
ileS,0.0038736612
OXA-24,0.0038733825
