gate_dim_idx,mean_gate
0,0.7332822
1,0.65658593
2,0.24296077
3,0.5614592
4,0.47566307
5,0.34031287
6,0.38688067
7,0.94821787
8,0.08105015
9,0.8747305
10,0.9943397
11,0.36631218
12,0.99245906
13,0.12953052
14,0.49465868
15,0.038457416
16,0.9907422
17,0.6209156
18,0.04042699
19,0.98370254
20,0.975027
21,0.09877314
22,0.030502675
23,0.47590542
24,0.12684439
25,0.002656648
26,0.100462876
27,0.09790793
28,0.33442992
29,0.948337
30,0.9958105
31,0.18618414
32,0.111108266
33,0.011694262
34,0.9798608
35,0.096398965
36,0.35024688
37,0.108811796
38,0.7704926
39,0.38194123
40,0.4799127
41,0.13951181
42,0.39924502
43,0.36808726
44,0.8558407
45,0.9851034
46,0.9273021
47,0.11471304
48,0.97177905
49,0.43841338
50,0.52921194
51,0.3166708
52,0.3988108
53,0.65850735
54,0.05360537
55,0.021801647
56,0.32355735
57,0.99364275
58,0.78766465
59,0.45402402
60,0.87422544
61,0.9853666
62,0.13222416
63,0.5967799
64,0.15885216
65,0.6608869
66,0.8868908
67,0.09211278
68,0.007003972
69,0.02070418
70,0.99127436
71,0.31309032
72,0.014951237
73,0.48032656
74,0.85383683
75,0.99675936
76,0.97240925
77,0.37178838
78,0.15371375
79,0.72695506
80,0.6417041
81,0.9325672
82,0.0039660833
83,0.9981706
84,0.8419462
85,0.9056554
86,0.1079659
87,0.9269552
88,0.88518703
89,0.6438562
90,0.9002175
91,0.7331554
92,0.124987155
93,0.9936412
94,0.37262157
95,0.9964807
96,0.9876971
97,0.37635225
98,0.2815465
99,0.35660356
100,0.09835124
101,0.66379017
102,0.21791397
103,0.40136817
104,0.9836378
105,0.91442174
106,0.24733914
107,0.10328257
108,0.35154232
109,0.7070186
110,0.9078086
111,0.112152874
112,0.9913582
113,0.109610826
114,0.38678536
115,0.40186507
116,0.35630932
117,0.71991956
118,0.92914873
119,0.22271825
120,0.886283
121,0.9930601
122,0.37528592
123,0.45433247
124,0.2379799
125,0.9926747
126,0.36142248
127,0.99261796
