gate_dim_idx,mean_gate
0,0.06532711
1,0.35121837
2,0.31953713
3,0.94347936
4,0.39647642
5,0.17967479
6,0.38716185
7,0.82233405
8,0.17508315
9,0.38781425
10,0.10732821
11,0.8515119
12,0.4647104
13,0.10745364
14,0.39296147
15,0.31076366
16,0.32073316
17,0.35283816
18,0.059024762
19,0.3437669
20,0.96378905
21,0.34241965
22,0.38824543
23,0.2646132
24,0.28583777
25,0.975829
26,0.117135696
27,0.6697314
28,0.3184607
29,0.19762719
30,0.7056611
31,0.59890234
32,0.41723886
33,0.33713305
34,0.9573712
35,0.6060614
36,0.4345994
37,0.42333445
38,0.45513824
39,0.83929795
40,0.5324225
41,0.24900109
42,0.3361111
43,0.16629104
44,0.7758014
45,0.22036967
46,0.3903924
47,0.6657033
48,0.35805342
49,0.53883845
50,0.5119295
51,0.82491493
52,0.058820337
53,0.32978812
54,0.3539383
55,0.6924794
56,0.3352416
57,0.6382013
58,0.08854736
59,0.47468463
60,0.689715
61,0.07061602
62,0.72793955
63,0.1282515
64,0.09181392
65,0.12543166
66,0.6922687
67,0.9704158
68,0.11896873
69,0.9689851
70,0.31121516
71,0.11415928
72,0.9863788
73,0.33264375
74,0.4415323
75,0.41158327
76,0.6651107
77,0.8820019
78,0.6396508
79,0.271895
80,0.28467572
81,0.49273127
82,0.532951
83,0.9535329
84,0.10248094
85,0.28909647
86,0.12029486
87,0.6677952
88,0.10446255
89,0.27252337
90,0.2734581
91,0.116183646
92,0.1189819
93,0.4031422
94,0.58239
95,0.3304574
96,0.8992397
97,0.16676626
98,0.5712234
99,0.46848786
100,0.36028585
101,0.28483438
102,0.94618505
103,0.41090697
104,0.46535987
105,0.76813465
106,0.29000998
107,0.031169292
108,0.22683665
109,0.67234635
110,0.124214984
111,0.80594176
112,0.8550743
113,0.43410605
114,0.034115374
115,0.5005441
116,0.98670727
117,0.9277832
118,0.18359482
119,0.28923446
120,0.92110187
121,0.36404604
122,0.5642633
123,0.8605552
124,0.6028574
125,0.58004266
126,0.8164534
127,0.5083493
