gate_dim_idx,mean_gate
0,0.23837805
1,0.40069455
2,0.37746203
3,0.9887085
4,0.581817
5,0.38811865
6,0.2987532
7,0.7037405
8,0.3881786
9,0.9773859
10,0.46186155
11,0.37976968
12,0.023087092
13,0.8764397
14,0.9815059
15,0.36614457
16,0.050173867
17,0.21670018
18,0.18458903
19,0.6408301
20,0.98234636
21,0.4706509
22,0.38463145
23,0.51611215
24,0.9431629
25,0.1729552
26,0.9775242
27,0.4623721
28,0.3212235
29,0.4116652
30,0.82652867
31,0.4291857
32,0.83199894
33,0.39663237
34,0.5796215
35,0.44718778
36,0.4496852
37,0.46478236
38,0.8467148
39,0.78356963
40,0.40819773
41,0.3255262
42,0.9385303
43,0.36285362
44,0.9572074
45,0.46110374
46,0.059271798
47,0.25475308
48,0.62870926
49,0.053241346
50,0.051737584
51,0.22163302
52,0.2346922
53,0.9812702
54,0.43564504
55,0.9155518
56,0.18437427
57,0.5946119
58,0.8726326
59,0.19762465
60,0.61672306
61,0.35988754
62,0.17841876
63,0.97475004
64,0.42188275
65,0.83866334
66,0.5801221
67,0.122607395
68,0.1521965
69,0.5406773
70,0.9331158
71,0.19440106
72,0.88441646
73,0.23878323
74,0.44591624
75,0.3940687
76,0.92527795
77,0.14550446
78,0.2486033
79,0.87544805
80,0.5325178
81,0.96051264
82,0.877865
83,0.13803665
84,0.40359437
85,0.7945641
86,0.62446016
87,0.88793063
88,0.32792452
89,0.90520036
90,0.012779669
91,0.17129487
92,0.3660346
93,0.36808163
94,0.54349685
95,0.5312282
96,0.97199196
97,0.23111637
98,0.37928405
99,0.26902428
100,0.75302017
101,0.24559844
102,0.87177235
103,0.981736
104,0.23201872
105,0.16404793
106,0.29752135
107,0.9748185
108,0.5528622
109,0.5174729
110,0.13299309
111,0.49298173
112,0.18535912
113,0.9853394
114,0.34288415
115,0.588567
116,0.1620979
117,0.21693952
118,0.42452553
119,0.98658514
120,0.8609098
121,0.90791935
122,0.5285271
123,0.24886267
124,0.87777084
125,0.47831914
126,0.4354101
127,0.25285074
