,Rv0678,Rv2983,atpE,ddn,eis,embB,ethA,fabG1,fbiA,fbiB,fbiC,fgd1,gid,gyrA,gyrB,inhA,katG,mmpL5,pepQ,pncA,rplC,rpoB,rpsL,rrl,rrs,tlyA
Rv0678,1.0,0.1668164346265665,0.706199286399531,0.5427047180422235,0.3022696826526953,-0.17618058244099788,0.1869938810353691,-0.007436032764101923,0.19401193618639914,0.3641287146933874,0.19772152832270665,-0.4070948818014886,-0.3170006197609499,-0.3439208631255562,-0.118022555603485,0.5414851418408969,-0.39838338123321193,-0.3546177891652775,0.5099865274016087,-0.27742338703445524,0.5421096513258932,-0.4013377680988567,0.4889740533485967,0.14672101644573254,0.35716143987563626,-0.3065840861708847
Rv2983,0.1668164346265665,1.0,0.17560249047950618,0.13064873745685657,0.05811189042739946,0.10376808241283593,-0.0600606681751435,0.2554836154290763,0.4301657033430304,0.045540913268886714,-0.03178548576896395,-0.215881015294064,-0.16354843796054144,-0.22552726122256148,0.08641564517849544,0.1135477324726506,-0.2043976938157701,-0.2302689235892926,0.1422764158153933,-0.23770477779366936,0.10368452186403183,-0.20773347516509905,0.10628955922242891,0.1870202965768097,0.05354763059956705,-0.20634827442155135
atpE,0.706199286399531,0.1756024904795062,1.0,0.5995432156973128,0.3175513008927083,-0.1922790825853938,0.2899391133416246,-0.007485985463116469,0.20751085534432487,0.37821096026145967,0.30849738861462067,-0.4613621440105466,-0.364099099646469,-0.3904059797771383,-0.10027751156405508,0.6938641745075113,-0.45504128554999124,-0.4107355849401195,0.5673961872073617,-0.3177189864280505,0.584960667786538,-0.44957259258272403,0.5495415640299279,0.20118758596729108,0.4064204713538955,-0.34874989242652865
ddn,0.5427047180422235,0.1306487374568566,0.5995432156973128,1.0,0.26290220716994417,-0.14134684843836626,0.24393225988385037,-0.016997949848456248,0.12808055826969758,0.31041329422236563,0.21316608427994027,-0.399326258670408,-0.3070198384795574,-0.3196669098971482,-0.08220200551923673,0.465569803524441,-0.38099537774297937,-0.3287888134903396,0.4642348623342917,-0.25717412641400716,0.4956498721728597,-0.3838468950958277,0.46216247941822935,0.13116290147083162,0.3555453247618031,-0.28457988104440396
eis,0.3022696826526954,0.058111890427399455,0.3175513008927083,0.26290220716994417,0.9999999999999998,-0.0031801831731283208,0.055709585901886904,-0.10803365295045944,0.0543974396130618,0.18788741324920907,0.11002170210131793,-0.21910095275195257,-0.15270267272413027,-0.2333254506111639,-0.11519916405416242,0.22112324637233025,-0.21993773616123075,-0.23840842639084245,0.23909818412791062,-0.20089903546170065,0.27232147428466136,-0.1747335761473514,0.2270104875402164,0.04351554829509234,0.20004618654461634,-0.20557195403120257
embB,-0.17618058244099788,0.10376808241283593,-0.19227908258539378,-0.14134684843836626,-0.0031801831731283208,1.0,-0.00349887392077215,0.014029550066181595,0.12536496365904232,-0.17697191530911632,-0.05861709517185652,-0.08862155073376546,-0.04529499297299878,0.0013459309845641344,0.3373608045768642,-0.17202756686831225,-0.03640766571876513,0.06769415956310945,-0.15081764683074142,-0.18451872583904103,-0.13666287535008123,-0.05739983714984135,-0.15925252787657534,0.021289837262473486,-0.14915702179648138,0.0839226594137389
ethA,0.1869938810353691,-0.06006066817514349,0.28993911334162453,0.24393225988385037,0.055709585901886904,-0.0034988739207721495,0.9999999999999998,-0.08803003102115688,-0.0014648306761392742,0.10237183979675088,0.13308859459158257,-0.17907518821596832,-0.1086406940127378,-0.18318131267170235,0.07786194457721056,0.1832394029071868,-0.18371911463196938,-0.1822385343382762,0.14669206245554864,-0.21567520440236349,0.25163179481103615,-0.18365128789131452,0.15696876574916832,0.0064094667916182535,0.16164259986606092,-0.16481935097732553
fabG1,-0.007436032764101924,0.2554836154290763,-0.007485985463116469,-0.016997949848456248,-0.10803365295045944,0.014029550066181593,-0.08803003102115688,1.0,0.2645218857288277,-0.04319293914138547,-0.059064830795832926,-0.08788665348813464,-0.13188553853591758,0.387055882003713,0.04211590050866804,-0.05469054552726888,-0.14896676373903758,0.14082250316799963,0.010365428256787025,-0.23731195889020967,0.014157636746850366,-0.08559087724991717,-0.035392551055351336,0.12856434724056315,-0.013544233115396225,0.06462987206424539
fbiA,0.19401193618639917,0.43016570334303034,0.20751085534432487,0.12808055826969755,0.0543974396130618,0.12536496365904234,-0.0014648306761392742,0.2645218857288276,1.0,0.04208908968749275,-0.02774776963433982,-0.259318223615782,-0.22037112321025204,-0.2005989022745203,0.07783969897606278,0.10357167635067237,-0.2549710612194136,-0.09215892307779879,0.14806730286875458,-0.25595257872988636,0.10885853896364932,-0.2327815126878333,0.09029118598809366,0.15090261169202657,0.07451698576325912,-0.010182145144419853
fbiB,0.3641287146933874,0.04554091326888672,0.37821096026145967,0.31041329422236563,0.18788741324920905,-0.17697191530911635,0.10237183979675088,-0.043192939141385465,0.042089089687492746,1.0,0.1599423832474689,-0.2588728396075861,-0.21499596137789442,-0.22007066327019703,-0.1264240617918045,0.39050336095952015,-0.2628895020183101,-0.21211142079686868,0.30491553530901205,-0.2091094782589824,0.3956944986777617,-0.2373557325170789,0.2991452238604465,0.09944880181316976,0.18787553945599958,-0.16326602419739442
