gene,mean_all,mean_susceptible,mean_resistant,diff_R_minus_S
pncA,0.230392,0.048241,0.540787,0.492546
katG,0.135865,0.026102,0.322908,0.296806
fabG1,0.039750,0.050854,0.020828,-0.030027
atpE,0.035004,0.052784,0.004706,-0.048077
Rv0678,0.034540,0.052189,0.004466,-0.047723
rpsL,0.034475,0.051585,0.005319,-0.046266
rplC,0.034328,0.051831,0.004501,-0.047330
ddn,0.034271,0.051704,0.004564,-0.047140
inhA,0.034260,0.051769,0.004424,-0.047345
pepQ,0.034078,0.051426,0.004515,-0.046911
fbiB,0.033320,0.050120,0.004692,-0.045428
rrs,0.032791,0.049320,0.004626,-0.044694
fbiA,0.032766,0.049084,0.004960,-0.044125
eis,0.032471,0.048722,0.004777,-0.043945
Rv2983,0.032169,0.048083,0.005051,-0.043032
ethA,0.031487,0.047537,0.004135,-0.043402
fbiC,0.031263,0.046894,0.004627,-0.042267
rrl,0.028938,0.043290,0.004483,-0.038807
gyrB,0.026247,0.039400,0.003833,-0.035567
embB,0.021206,0.031137,0.004283,-0.026854
fgd1,0.014960,0.019367,0.007450,-0.011917
rpoB,0.012779,0.016910,0.005740,-0.011170
gid,0.011998,0.017528,0.002574,-0.014954
gyrA,0.005107,0.001001,0.012103,0.011103
mmpL5,0.003206,0.001643,0.005869,0.004226
tlyA,0.002329,0.001479,0.003779,0.002300
