phenotype,Rv0678,Rv2983,atpE,ddn,eis,embB,ethA,fabG1,fbiA,fbiB,fbiC,fgd1,gid,gyrA,gyrB,inhA,katG,mmpL5,pepQ,pncA,rplC,rpoB,rpsL,rrl,rrs,tlyA
Susceptible,0.05263158,2.9488103e-30,0.05263158,0.05263158,0.05263158,6.0190795e-28,0.05263158,0.05263158,0.05263158,0.05263158,1.8677428e-27,0.05263158,0.05263158,9.11773e-29,0.05263158,0.05263158,0.05263158,1.583168e-28,0.05263158,0.05263158,0.05263158,0.05263158,0.05263158,1.4064084e-27,0.05263158,9.261782e-27
Susceptible,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,3.1710162e-14,1.8369515e-15,0.04761905,0.04761905,0.04761905,2.5733496e-15,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,1.1538592e-13,2.6249717e-14
Susceptible,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,3.0425562e-12,0.04761905,4.5076065e-12,0.04761905,0.04761905,0.04761905,8.202627e-12,0.04761905,0.04761905,0.04761905,7.286278e-12,0.04761905,0.04761905,0.04761905,9.161611e-11
Susceptible,0.05882353,0.05882353,0.05882353,0.05882353,1.99852e-21,0.05882353,0.05882353,0.05882353,0.05882353,0.05882353,0.05882353,3.6973274e-22,1.0400004e-19,1.4845509e-21,0.05882353,0.05882353,2.229055e-25,3.9673816e-21,0.05882353,9.923946e-27,0.05882353,3.5093723e-21,0.05882353,0.05882353,0.05882353,1.0854672e-19
Susceptible,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,7.654656e-15,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,1.121817e-15,4.6225163e-14,3.1823898e-15,0.055555556,0.055555556,9.3555476e-18,4.7379855e-15,0.055555556,0.055555556,0.055555556,5.50492e-15,0.055555556,0.055555556,0.055555556,5.1474148e-14
Susceptible,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,1.5186335e-31,0.045454547,0.045454547,0.045454547,2.771352e-31,0.045454547,0.045454547,0.045454547,0.045454547,0.045454547,1.2138831e-29,0.045454547,8.7503496e-29
Susceptible,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,9.4227765e-15,0.04347826,0.04347826,0.04347826,1.36945085e-14,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,1.8596974e-13
Susceptible,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,4.1355194e-15,0.04347826,0.04347826,0.04347826,4.7030806e-15,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,4.978069e-14
Susceptible,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,1.4439365e-23,0.04761905,0.04761905,0.04761905,4.8853493e-24,0.04761905,0.04761905,0.04761905,1.6007936e-23,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,1.9845828e-22,0.04761905,8.202992e-22
Susceptible,0.05263158,1.5010889e-15,0.05263158,0.05263158,0.05263158,1.7650662e-14,0.05263158,0.05263158,0.05263158,0.05263158,0.05263158,0.05263158,0.05263158,9.3381655e-15,5.322008e-14,0.05263158,0.05263158,5.6275946e-15,0.05263158,0.05263158,0.05263158,0.05263158,0.05263158,3.053853e-14,0.05263158,3.570956e-14
Susceptible,0.071428575,1.6752073e-24,0.071428575,0.071428575,0.071428575,5.617201e-23,0.071428575,4.2769104e-24,4.963201e-22,0.071428575,0.071428575,4.4840787e-24,1.1514898e-21,2.3740488e-23,5.039399e-22,0.071428575,6.725358e-27,3.498793e-23,0.071428575,0.071428575,0.071428575,5.517681e-23,0.071428575,0.071428575,0.071428575,7.579476e-22
Susceptible,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,7.439577e-11,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,1.7722938e-10,3.8323865e-11,0.04761905,0.04761905,0.04761905,2.9473906e-11,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,1.2838142e-10
