gene,attn_mean,attn_rank,shap_importance,shap_rank,card_resistance_edges,card_rank
Rv0678,0.03454088419675827,5,0.0007918794594587945,18,273,8
Rv2983,0.0321696400642395,15,0.0005756011148505373,22,3,23
atpE,0.0350043848156929,4,0.0002906649673215522,25,9,20
ddn,0.034271396696567535,8,0.0002446582367072927,26,24,16
eis,0.03247100114822388,14,0.0005601573953872797,23,124,12
embB,0.02120635285973549,20,0.00773538018137575,8,313,5
ethA,0.031487055122852325,16,0.0031812693969765727,10,508,3
fabG1,0.03975052759051323,3,0.012400230995791472,6,216,9
fbiA,0.03276684880256653,13,0.0006261350336425001,21,1,25
fbiB,0.033320579677820206,11,0.0007868988221745591,19,2,24
fbiC,0.03126343712210655,17,0.0012109012322547505,14,11,19
fgd1,0.014959844760596752,21,0.0029801375871853497,11,3,22
gid,0.011997882276773453,23,0.009937269833181052,7,288,7
gyrA,0.005106661003082991,24,0.029058664952858245,3,782,2
gyrB,0.026247501373291016,19,0.0025745745031827832,12,184,11
inhA,0.03426036611199379,9,0.0011969166411692424,15,6,21
katG,0.13586345314979553,2,0.031288363202823785,2,209,10
mmpL5,0.0032061473466455936,25,0.016129741673788056,4,0,26
pepQ,0.03407812863588333,10,0.0003748105533801782,24,18,18
pncA,0.2303900569677353,1,0.003901421398461462,9,1015,1
rplC,0.034328166395425797,7,0.0006920482066222755,20,29,15
rpoB,0.01277928613126278,22,0.013141322670003692,5,436,4
rpsL,0.03447527438402176,6,0.0011767575795584156,16,117,13
rrl,0.028938647359609604,18,0.0020189806507077434,13,22,17
rrs,0.032791756093502045,12,0.0011682767793863465,17,302,6
tlyA,0.002329320879653096,26,0.03821375417454449,1,77,14
