gate_dim_idx,mean_gate
0,0.51269
1,0.5143678
2,0.5235166
3,0.50602597
4,0.49156895
5,0.4792298
6,0.53081316
7,0.49284136
8,0.46785495
9,0.51712507
10,0.4962148
11,0.4983607
12,0.5004884
13,0.54919684
14,0.5481981
15,0.48061958
16,0.50510657
17,0.49510428
18,0.4741411
19,0.48114234
20,0.49381238
21,0.50834286
22,0.52752066
23,0.47947568
24,0.52921647
25,0.5064183
26,0.48626062
27,0.47919458
28,0.5025302
29,0.48748714
30,0.50831085
31,0.51180536
32,0.5152886
33,0.50956285
34,0.5303356
35,0.47930732
36,0.51134443
37,0.50419176
38,0.5351554
39,0.5116208
40,0.50823265
41,0.49001005
42,0.49456063
43,0.48740375
44,0.48879784
45,0.46939188
46,0.50784194
47,0.51274157
48,0.5383318
49,0.46309188
50,0.49617007
51,0.48390937
52,0.4736604
53,0.48834658
54,0.51637834
55,0.514985
56,0.4884417
57,0.47979715
58,0.48976249
59,0.49990055
60,0.52389276
61,0.48343584
62,0.4914345
63,0.5491922
64,0.48734248
65,0.5066288
66,0.51511216
67,0.5189433
68,0.5020745
69,0.49026746
70,0.5004791
71,0.48765326
72,0.47494462
73,0.4979243
74,0.5199439
75,0.533333
76,0.48273793
77,0.4971367
78,0.52011997
79,0.5102683
80,0.49150345
81,0.5106805
82,0.5049858
83,0.49918565
84,0.50083625
85,0.4947838
86,0.50479984
87,0.4936044
88,0.53099406
89,0.49783042
90,0.5060432
91,0.50550795
92,0.4746356
93,0.5416662
94,0.50967443
95,0.490284
96,0.48409793
97,0.50553215
98,0.50408524
99,0.4955378
100,0.5097776
101,0.552762
102,0.5444811
103,0.4860927
104,0.5094598
105,0.4955688
106,0.5068628
107,0.4961578
108,0.4826551
109,0.50605476
110,0.47454926
111,0.5354076
112,0.47634563
113,0.4729831
114,0.5182507
115,0.505129
116,0.48536497
117,0.47628027
118,0.4940173
119,0.47371328
120,0.48949933
121,0.47815415
122,0.52841395
123,0.48553017
124,0.5049967
125,0.51263034
126,0.4986674
127,0.5264148
