gene,mean_attn
gyrB,0.0076802317
tolC,0.0071928236
parE,0.006861529
acrA,0.006712534
marA,0.0058629895
mfd,0.0056283874
KatG,0.0056078546
mdtH,0.005602126
gyrA,0.0055701747
emrR,0.0055670803
acrD,0.005516264
cpxR,0.0054422077
emrA,0.005416768
emrB,0.0054050963
rho,0.0054011378
mdtB,0.0053803385
parC,0.0053562988
folP,0.005338032
AcrAB-TolC,0.005260989
EF-Tu,0.0051555205
mdtD,0.0051240507
acrB,0.0051032985
EmrKY-TolC,0.005024259
MacB,0.00495118
mdtG,0.0049088276
bacA,0.0048539215
baeR,0.004844811
PmrB,0.004804578
S10p,0.0047455593
CRP,0.0047223363
mdtC,0.004678381
baeS,0.0046689264
kdpE,0.004652875
mdfA,0.0046379925
adiY,0.004637487
rpoB,0.004594338
AcrEF-TolC,0.0045862948
soxS,0.0045376965
mdtF,0.0045049535
TolC/OpmH,0.0045041307
AcrZ,0.0044868626
GadE,0.00448168
emrK,0.0044779195
MarR,0.0044629625
MdtEF-TolC,0.0044586477
mdtE,0.0044473168
msbA,0.0044361595
MdtABC-TolC,0.0044330875
acrF,0.004420914
AcrAD-TolC,0.0043677883
arnA,0.0043518716
MacA,0.004313876
EmrD,0.004267197
acrE,0.004154031
kasA,0.0041488516
GlpT,0.004139171
gidB,0.0041341977
nfsA,0.0041276393
evgA,0.0041051377
gadE,0.0040904963
gadX,0.004084409
cpxA,0.0040391306
S12p,0.0040148986
PmrC,0.0040038982
emrY,0.00395462
Alr,0.0039352477
leuO,0.0039194305
gadW,0.0038706635
evgS,0.0038499606
"inhA, fabI",0.0038457625
cysB,0.0038330157
Iso-tRNA,0.0037905485
PhoP,0.0037864007
UhpT,0.003778636
BlaEC family,0.0037744667
patA,0.003758054
EF-G,0.003738367
H-NS,0.0037365793
soxR,0.0037308205
MarA,0.0037243369
rpoC,0.0036947469
mdtA,0.003682673
BcrC,0.0036730312
ompF,0.0036196974
"folA, Dfr",0.0035947622
mdtK,0.0035864122
mdtL,0.0035640597
YojI,0.003552894
MdfA/Cmr,0.0035461183
mdtN,0.0034667258
OxyR,0.003459748
PmrF,0.0034529201
acrR,0.003445323
MurA,0.0034423976
acrS,0.0034406413
EmrAB-TolC,0.0034257667
MdtL,0.0034175685
GdpD,0.003411424
murA,0.0034082653
emrD,0.0033885736
dxr,0.003372562
mdtP,0.0033697968
mdtM,0.0033414904
marR,0.0033385325
TEM family,0.0033358952
mgrB,0.003293596
alaS,0.0032886523
fyuA,0.0032885196
PgsA,0.0032630556
mdtO,0.0032607717
emrE,0.0032558439
PmrE,0.0031275337
Ddl,0.0031274643
MarB,0.003082596
SugE,0.002971747
APH(3'')-Ib,0.002931843
MdtM,0.002876008
EmrE,0.0028723045
sul1,0.002863459
TEM-1,0.002419123
crp,0.0023655258
APH(6)-Id,0.00232687
tetC,0.002290496
QacE,0.0022785233
sul2,0.002233908
Tet(A),0.002212187
APH(6)-Ic/APH(6)-Id,0.0021895478
tetA,0.0021312
mphA,0.002100673
MexAB-OprM,0.0020928415
APH(3'')-I,0.0019502318
tetR,0.0019498905
csrA,0.0019390449
aadA,0.0018951936
dfrA17,0.0018889587
tetD,0.0018342299
mdtI,0.0018156423
vgaC,0.0017955087
aadA5,0.0017663718
CTX-M family,0.001765887
CTX-M-15,0.001757598
mdtJ,0.0017057884
"AAC(3)-II,III,IV,VI,VIII,IX,X",0.0017010571
Mrx,0.0017007989
glpT,0.0016856322
Mph(A) family,0.0016842765
OXA-1 family,0.0016643452
marB,0.0016493048
Tet(B),0.0016452069
blaEC,0.001644352
AAC(6')-Ib-cr,0.001621397
floR,0.0016210063
catI,0.0016066675
yojI,0.0016044214
OXA-1,0.0016039633
dadX,0.0016018511
alr,0.0015994126
ugpQ,0.001596828
arnF,0.0015922971
sugE,0.0015909692
yfbW,0.0015907494
oxyR,0.0015869621
hns,0.0015857769
catB3,0.0015755779
fabI,0.0015642773
yhiE,0.0015612504
emrB_1,0.0015588216
folA,0.0015585552
dfrA1,0.0015573496
pmrD,0.001554639
yjdB,0.001552648
mprA,0.0015497277
yegM,0.0015466008
basR,0.0015450781
bcr,0.0015416135
cmr,0.0015361115
ybjG,0.0015333027
CatB family,0.0015295632
eptA,0.0015288014
ddlA,0.0015276059
uhpT,0.0015227173
yfbE,0.0015224725
rpsL,0.0015123222
ftsI,0.00150834
rplF,0.001508041
fusA1,0.0015076309
uppP,0.0015027021
yfbF,0.0014970707
ileS,0.0014953461
rpsJ,0.0014871786
ybhT,0.0014841388
CatA1/CatA4 family,0.0014811486
APH(3')-Ia,0.00148049
ampC,0.0014783229
katG,0.001474527
fabF,0.001471475
bla,0.0014712939
mdtP_2,0.0014674473
pgsA,0.0014662584
ugd,0.0014662563
envR,0.0014639356
APH(3')-I,0.0014630988
arnT,0.0014624891
aph(3'')-Ib,0.0014624846
phoP,0.0014602744
yeeO,0.0014599166
macB,0.0014520278
yceL,0.0014454473
ddlB,0.0014454434
QnrS1,0.001441131
tet(A),0.0014377844
dfrA5,0.0014340931
leuO_1,0.0014327397
emrB_2,0.0014304544
arnD,0.0014227134
ddl,0.0014195241
CTX-M-27,0.0014190397
dfrA14,0.0014184688
CMY-2,0.0014094874
sul3,0.0013991134
dfrA12,0.0013965558
tufA,0.0013874653
AAC(3)-IIc,0.0013873279
macA_2,0.0013856135
FloR family,0.0013781195
neo,0.0013737129
AAC(3)-IIa,0.001370202
fusA,0.0013669274
aph(6)-I,0.001365256
folP2,0.001362998
mdtP_1,0.0013593982
aadA2,0.0013563028
QnrB family,0.0013558123
sulI,0.0013524984
macA_1,0.0013497254
aadA1,0.0013476817
CMY/CMY-2/CFE/LAT family,0.0013469068
ebr,0.001332581
CmlA family,0.0013318304
ErmB,0.0013308075
gadW_2,0.001329157
sat-1,0.0013286448
leuO_2,0.0013276236
dhfrV,0.001327607
QnrB10,0.0013247721
ANT(2'')-Ia,0.001324281
AAC(6')-Ib,0.0013184916
mphB,0.0013183195
Tet(D),0.0013168944
gadW_1,0.0013166027
cat,0.0013165193
aadA3,0.0013160176
pmrB,0.0013138668
Mef(B),0.0013135907
Mph(B) family,0.0013104528
vapB_2,0.0013076119
qacH,0.0013071452
mph(A),0.0013070591
arnC,0.0013051494
tet(B),0.001304051
CTX-M-1,0.0013023621
Erm(B),0.0012978886
aadA8,0.0012967981
tufA_1,0.0012966776
SHV-1,0.0012957669
strA,0.0012938896
MCR-1,0.0012929307
hns_1,0.0012924083
dfrD,0.0012921918
dhfrI,0.0012920976
macA,0.0012918131
SHV family,0.0012913684
qac,0.0012912498
CTX-M-14,0.0012911609
tuf,0.0012894322
mefB,0.0012889997
estX,0.0012879819
arnB,0.0012879021
tufA_2,0.0012878524
gadW_3,0.0012872183
hns_2,0.0012841513
dfrA,0.00128386
folA_2,0.0012832085
mexB,0.0012831038
acrB_2,0.0012828058
TEM-40,0.0012819918
AAC(6')-Ib/AAC(6')-II,0.0012819396
bla_1,0.0012805244
AAC(6')-Ib7,0.0012785206
basS,0.0012784804
TEM-12,0.0012780109
blaTEM,0.001277476
Tet(M),0.0012774295
cmlA,0.0012770084
vapB_3,0.0012760015
TEM-54,0.0012758203
acrB_1,0.0012757023
aadA15,0.0012756679
ksgA,0.0012747733
dfrA7,0.0012747002
KPC-3,0.0012743744
aadA25,0.0012739846
CMY-42,0.0012739096
dfrA15,0.001273578
OmpK36,0.001273383
mdtG_1,0.00127338
KPC family,0.0012730865
blaCTX-M,0.0012724879
mexB_2,0.0012722852
soxS_1,0.0012712327
macA_3,0.0012711752
aph(3''),0.0012711629
macB_1,0.0012707763
tetM,0.0012699576
TEM-90,0.0012697593
bcr_2,0.0012690689
folA_1,0.0012690134
bla_2,0.001268963
aadA24,0.0012686246
aph(3')-I,0.0012685042
mdtG_2,0.0012683882
OXA-9,0.0012682957
blaT-6,0.0012671829
sdiA,0.0012669874
dfrA25,0.0012667818
qacE,0.0012666866
qacA,0.001266654
tetD_2,0.0012665272
CTX-M-8,0.0012657148
aac3-VI,0.0012656586
CMY-82,0.0012654265
CTX-M-55,0.0012654022
aadA4,0.0012653854
emrB_3,0.0012650222
aadA22,0.0012649939
TEM-135,0.0012648769
aacA4,0.0012648683
marA_1,0.0012640071
DHA/MOR family,0.0012639718
NDM-7,0.0012638328
TEM-67,0.0012636291
APH(4)-Ia,0.0012636009
ampC_1,0.001263524
bcr_1,0.0012635137
dfrA10,0.0012635009
ugd_1,0.0012634658
APH(4)-I,0.0012634102
ddlB_2,0.0012633055
ampC_2,0.0012631147
CMY-6,0.0012629871
sdiA_1,0.0012629845
AAC(3)-IV,0.0012628516
linG,0.0012627677
catII,0.0012627013
NDM-5,0.0012626605
TEM-190,0.0012626051
DHA-1,0.0012624176
TEM-141,0.0012624132
marR_2,0.0012623996
catB8,0.0012623986
robA,0.0012623902
NDM family,0.0012619209
rmtB,0.0012618733
ramR,0.0012618053
acrD_1,0.0012617481
CatA2 family,0.0012617122
mdtE_2,0.0012617053
AAC(3)-VIa,0.0012616436
dfrA21,0.0012615689
rosA,0.0012615215
CTX-M-3,0.00126145
fabV,0.0012613562
CTX-M-9,0.0012613402
tet(M),0.001261226
proP_1,0.0012612129
oxyR_2,0.0012610235
acrD_2,0.0012609671
glpT_1,0.0012609587
arr-2,0.0012608204
sat2,0.0012606769
QnrB4,0.0012606583
QnrB20,0.0012605835
smeA,0.001260527
cyaA,0.0012604811
ramA,0.0012604685
glpT_2,0.0012604482
mdtE_1,0.00126029
marA_2,0.001260235
yfbE_1,0.0012601068
ptsI,0.0012600255
mph(B),0.001259988
dfrB1,0.0012599849
nfsA_2,0.001259936
TEM-206,0.0012599021
aac(3)-VIa,0.0012598023
nfsA_1,0.0012597049
oprB,0.0012594468
KPC-2,0.0012593349
oxyR_1,0.0012590893
rosB,0.0012589487
fabF_1,0.0012588872
gadW_4,0.0012588754
yeeO_2,0.0012587535
acrR_1,0.0012587329
arr-3,0.0012585531
ksgA_2,0.0012583118
ddlB_1,0.0012579004
ugpQ_1,0.0012578819
Lnu(F)/Lnu(G),0.0012576572
yeeO_1,0.0012575855
ugpQ_2,0.0012520356
emrE_1,0.0012520356
CARB-1,0.0012520356
APH(6)-Ic,0.0012520356
uhpT_1,0.0012520356
uhpT_2,0.0012520356
CARB/PSE family,0.0012520356
CMY-22,0.0012520356
dfrA16,0.0012520356
vapB,0.0012520356
CMY-4,0.0012520356
dfrA8,0.0012520356
pipB2_2,0.0012520356
APH(3')-VI,0.0012520356
APH(3')-IIa,0.0012520356
AAC(3)-IIb,0.0012520356
evgS_2,0.0012520356
ygjG,0.0012520356
AAC(3)-Ib,0.0012520356
yfbF_2,0.0012520356
yfbF_1,0.0012520356
evgS_1,0.0012520356
etsB,0.0012520356
etsA,0.0012520356
yegM_2,0.0012520356
yegM_1,0.0012520356
AAC(6')-Ib10,0.0012520356
emrE_2,0.0012520356
catIII,0.0012520356
APH(3')-III/APH(3')-IV/APH(3')-VI/APH(3')-VII,0.0012520356
APH(3')-II/APH(3')-XV,0.0012520356
CTX-M-11,0.0012520356
CMY-61,0.0012520356
cat3,0.0012520356
mef(B),0.0012520356
aac(3),0.0012520356
mexB_1,0.0012520356
NDM-1,0.0012520356
TEM-76,0.0012520356
TEM-33,0.0012520356
msrE,0.0012520356
TEM-30,0.0012520356
rmtC,0.0012520356
SHV-7,0.0012520356
SHV-64,0.0012520356
qepA,0.0012520356
OprB,0.0012520356
QnrS2,0.0012520356
QnrD1,0.0012520356
mdtO_2,0.0012520356
mdtO_1,0.0012520356
KPC-4,0.0012520356
macB_3,0.0012520356
ble,0.0012520356
QnrB1,0.0012520356
blaNDM-1,0.0012520356
lnu(F),0.0012520356
macB_2,0.0012520356
CTX-M-65,0.0012520356
armA,0.0012520356
