gene,mean_attn
parE,0.0025978659
parC,0.0024899761
emrD,0.0024208352
gyrB,0.0023878743
acrA,0.0023090886
cysB,0.0022755333
AcrAD-TolC,0.0022703311
rpoC,0.0022456567
acrR,0.0022115333
MdtABC-TolC,0.0022107735
mdfA,0.0022037148
alaS,0.002200012
rho,0.0021957275
emrB,0.002166119
TolC/OpmH,0.0021509354
rpoB,0.002118752
"folA, Dfr",0.0021058235
msbA,0.0020907593
AcrAB-TolC,0.0020789613
cpxA,0.0020666567
SHV family,0.0020632467
uhpT,0.002062242
bacA,0.0020540645
GdpD,0.0020485814
kdpE,0.0020447178
robA,0.002037505
marA,0.002030947
acrB,0.0020192026
H-NS,0.0020056772
kasA,0.0020030632
folA,0.0020027668
AcrZ,0.0020011384
murA,0.001988927
oqxA,0.0019883418
mdtK,0.001987494
OmpK35,0.0019864172
gyrA,0.001983989
PhoP,0.0019826149
S12p,0.001980612
EmrAB-TolC,0.001980134
MarR,0.0019716055
oqxB,0.0019715682
folP,0.0019681791
mdtB,0.001960766
GlpT,0.0019607367
gidB,0.001957744
acrA_2,0.0019565483
dxr,0.0019550272
mdtH,0.0019463182
MarB,0.0019380304
soxR,0.0019358732
mfd,0.0019315104
leuO,0.0019314776
lptD,0.0019289056
emrR,0.0019255353
ramA,0.0019199414
nfsA,0.0019172351
ileS,0.0019167827
MacB,0.0019088021
ramR,0.0019078298
SugE,0.0019048322
MdfA/Cmr,0.0019041284
PmrF,0.0019007509
baeR,0.0018997435
acrB_3,0.0018994553
rplF,0.0018973148
OmpK36,0.0018971203
MurA,0.0018936029
yojI,0.0018932769
EF-G,0.0018923479
cpxR,0.0018900774
CTX-M-15,0.0018893714
tolC,0.0018858884
mdtC,0.0018823611
alr,0.0018780514
soxS,0.0018762944
katG,0.0018741078
Iso-tRNA,0.0018719126
QnrB10,0.0018718152
"inhA, fabI",0.0018706907
patA,0.0018691748
mdtD,0.0018689163
ybjG,0.0018616511
ddl,0.0018585526
OccD6/OprQ,0.0018566061
MarA,0.0018495672
YojI,0.0018471247
AcrEF-TolC,0.0018447044
marR,0.0018439197
SHV-11,0.0018411555
CRP,0.0018402729
Tet(A),0.00183927
CatB family,0.0018348135
QacE,0.0018344728
mphA,0.0018322854
emrA,0.0018315717
arnT,0.0018315298
acrA_1,0.0018305748
FosA5,0.0018298159
CTX-M family,0.0018291028
MdtM,0.0018256606
KatG,0.0018206928
BcrC,0.0018198452
bm3R1,0.0018181822
APH(3'')-Ib,0.0018181619
fosA,0.0018180867
MacA,0.001816691
EF-Tu,0.0018096915
Alr,0.0018087435
PgsA,0.0018080442
UhpT,0.0018080189
dfrA12,0.0018074608
eptA,0.0018069982
EmrD,0.0018054689
APH(6)-Id,0.001804541
vgaC,0.0018031398
OprB,0.0018017227
Ddl,0.0017998402
S10p,0.0017974222
TEM family,0.0017913113
rpsJ,0.0017894915
pmrD,0.0017888426
aadA2,0.001787195
sul1,0.0017838617
mdtG,0.0017833586
AAC(6')-Ib,0.0017816259
fabF_2,0.0017786347
mdtA,0.0017779347
OxyR,0.0017741442
arnF,0.0017723851
fusA_2,0.0017714417
basS,0.001770984
AAC(6')-Ib/AAC(6')-II,0.0017702295
MdtL,0.0017700738
KPC family,0.0017684235
ompN_2,0.0017667195
arnD,0.0017613209
yusO,0.0017590205
macB,0.0017571109
mdtC_2,0.0017560499
mdtL,0.0017560241
TEM-1,0.0017555973
ddlA,0.0017549039
acrB_2,0.0017517898
fusA_1,0.0017508217
bla_2,0.0017500429
APH(6)-Ic/APH(6)-Id,0.0017466209
Mph(A) family,0.0017453195
pgsA,0.0017449255
crp,0.0017433654
fabI,0.0017425255
sugE,0.0017405159
arnB_1,0.0017401958
csrA,0.0017393383
APH(3'')-I,0.0017373023
eptB,0.0017372989
ompA,0.001736658
fusA,0.0017357975
oprB,0.0017357008
tetC,0.0017325948
tetA_2,0.0017321769
dadX,0.0017307476
tuf1_1,0.0017305175
fabF_1,0.0017291375
bepF,0.001728094
ymfD,0.0017274155
ftsI_4,0.0017274008
uppP,0.0017269723
arnA,0.0017234709
OXA-1,0.0017161752
rob_4,0.0017160893
ompC,0.0017143151
rpsL,0.001714225
QnrB1,0.0017137608
arnE,0.0017136043
ugpQ,0.0017120958
catB3,0.0017119081
acrD,0.0017096573
yycF,0.0017074604
ddlB,0.0017068508
mdtM_1,0.0017055304
sul2,0.0017052746
mdtJ,0.0017041797
SHV-28,0.0017032028
pipB2,0.0017023869
bla_1,0.0016985504
catI,0.0016971347
acrB_4,0.0016966728
marR_1,0.0016963218
acrB_1,0.0016933783
folP_1,0.0016917193
leuO_3,0.0016884458
rsmG,0.0016884238
KPC-3,0.0016877985
CatA1/CatA4 family,0.0016863103
ybhT,0.0016852572
aadA15,0.0016849985
"AAC(3)-II,III,IV,VI,VIII,IX,X",0.0016818534
yceL,0.0016811457
mdtI,0.0016804911
bepE_2,0.0016802797
mdtC_1,0.0016800739
arnC,0.0016788559
OXA-1 family,0.0016781981
Mrx,0.0016779475
basR_1,0.0016778203
glpT,0.0016768754
msbA_2,0.0016763589
tuf1_2,0.0016763539
bla_3,0.0016752321
marA_1,0.0016739422
mdtM_2,0.0016736676
bcr_1,0.0016700955
fyuA,0.0016693573
AAC(6')-Ib-cr,0.0016685643
NDM family,0.0016665043
ompF,0.0016657868
aacA-aphD,0.0016654781
hns,0.0016639031
ugpQ_2,0.0016624943
tuf,0.0016621152
ugpQ_1,0.0016584831
mdtP_2,0.0016566253
mph(A),0.0016566074
APH(3')-I,0.0016559896
hns_1,0.0016546799
oxyR_5,0.0016531787
folP_2,0.0016531018
phoP,0.0016502219
mdtK_1,0.0016501932
emrB_2,0.0016499073
bepD,0.0016491213
ftsI,0.0016484096
aadA,0.0016474201
mdtM,0.0016469534
bla_4,0.0016464534
ompN_1,0.0016449549
AAC(3)-IIc,0.0016412028
mdtQ,0.0016405184
macA_2,0.0016402585
OXA-48 family,0.001640127
ant1,0.0016380767
msbA_1,0.0016378805
acrR_1,0.001637178
macA,0.0016367625
soxS_4,0.0016367373
mdtK_2,0.0016350182
SHV-7,0.0016338577
tetD_2,0.0016332562
vagC,0.0016308527
arnB,0.0016302215
glpT_1,0.0016265429
mdtP_1,0.0016255302
mprA,0.0016252417
dfrA,0.001624392
yibH_3,0.0016234356
citA,0.0016228774
KPC-2,0.0016216311
dfrA14,0.0016210717
oprD,0.001619919
nusE,0.0016197979
phoP_1,0.0016197393
OXA-181,0.0016188893
ANT(2'')-Ia,0.0016169632
soxS_2,0.0016164512
cmlA2,0.0016158713
msrE,0.0016154475
ErmB,0.0016153881
phoP_3,0.0016151181
aac(6')-Ib,0.0016144459
bla,0.0016143657
tet(A),0.0016142187
QnrB family,0.0016138725
macA_1,0.001613308
APH(3')-Ia,0.0016130701
bcr,0.0016125556
dfrA1,0.0016119335
glpT_2,0.0016115778
OXA-9,0.0016105804
soxS_3,0.0016096965
ramA_1,0.0016096244
SHV-8,0.0016092416
aadA24,0.0016092082
frp,0.0016086868
glpT_3,0.0016077048
yfbW,0.0016076048
Mph(E)/Mph(G) family,0.0016074115
yokD_2,0.0016072427
marR_2,0.0016068048
yibH_4,0.0016064827
emrB_1,0.001605848
NDM-5,0.0016057688
catB,0.0016054541
yokD,0.0016052803
NDM-1,0.0016051716
basR_2,0.001605038
emrB_3,0.0016040383
marA_2,0.0016040168
QnrS1,0.0016039714
ksgA,0.0016039308
fabF,0.0016036563
SHV-13,0.0016035052
rob,0.0016032513
ampC,0.0016032463
Erm(B),0.0016030718
rseD,0.0016028549
bepE,0.0016028498
yokD_1,0.0016025226
rmtF,0.0016024322
erm(B),0.0016020667
APH(4)-I,0.001602031
alr_2,0.0016019795
citA_1,0.0016008319
ble,0.001600443
str,0.0016003808
phoP_2,0.001599562
ompN_3,0.00159951
ccrB,0.0015988965
rmtB,0.0015981183
arr-2,0.0015978444
ftsI_1,0.0015970257
bcr_3,0.0015963871
cat,0.0015955194
hns_2,0.0015954181
VIM family,0.0015952721
soxS_6,0.0015949473
aph(3'')-Ib,0.0015947137
Msr(E),0.0015942882
alr_1,0.001593956
arr-3,0.00159351
bepE_1,0.0015933308
catII,0.0015930932
CmlA family,0.0015923209
soxS_5,0.0015919264
cirA_1,0.0015919062
Tet(D),0.0015912246
basR,0.0015911001
armA,0.0015903775
aacA4,0.001590182
acrR_2,0.0015900431
hns_3,0.0015898434
FloR family,0.0015897574
OXA-10 family,0.0015896603
blaSHV,0.0015893788
