gene,mean_attn
gyrB,0.00324587
rpoB,0.002941555
emrD,0.0027590923
FosA5,0.0027579898
acrA,0.0027444288
emrB,0.0027288918
SHV family,0.0026295925
AcrAD-TolC,0.0026245278
MdtL,0.0025847468
acrB,0.0025604693
mdtA,0.0025517761
marR,0.002538946
mdtG,0.002517873
murA,0.0025161353
TolC/OpmH,0.0025040614
cpxA,0.0024596804
folA,0.0024538578
soxR,0.0024160738
oqxA,0.0024019289
gyrA,0.0023915905
emrR,0.002386587
mfd,0.0023834268
parC,0.0023738814
dxr,0.0023468563
rho,0.002342227
"inhA, fabI",0.002297328
cysB,0.0022906926
TEM family,0.0022897334
leuO,0.002278758
parE,0.0022581806
kdpE,0.0022461277
KatG,0.0022450655
AcrEF-TolC,0.0022174527
mdtC,0.002216134
oqxB,0.0022152746
UhpT,0.0022127912
baeR,0.0022061234
gidB,0.0022012393
MdfA/Cmr,0.002191623
OxyR,0.0021889172
CTX-M-15,0.0021802299
AcrZ,0.0021786888
AcrAB-TolC,0.002171364
bacA,0.0021652298
cpxR,0.002144614
nfsA,0.0021414794
alaS,0.002136398
EF-G,0.0021334828
SHV-11,0.0021321324
mdtH,0.0021140878
S10p,0.0021108817
acrR,0.002109824
mdtK,0.0020906327
GdpD,0.0020840785
soxS,0.0020732738
BcrC,0.0020660628
patA,0.0020643524
sul1,0.0020634336
EF-Tu,0.0020505134
mdtD,0.002049377
folP,0.0020387669
MacB,0.0020352365
MarR,0.0020350956
TEM-1,0.0020232692
Ddl,0.0020224238
rpoC,0.0020210333
mdfA,0.0020171998
ramA,0.00201622
emrA,0.002013242
fosA,0.0020097513
uhpT,0.0020044902
catI,0.0020038357
robA,0.0019964438
marA,0.001994217
OprB,0.00198951
ramR,0.0019886522
msbA,0.001985248
kasA,0.001977062
CRP,0.0019677158
"folA, Dfr",0.001967635
SugE,0.0019648923
H-NS,0.0019646108
KPC family,0.0019628135
ddl,0.0019562768
mphA,0.0019468075
MacA,0.0019389056
MdtABC-TolC,0.0019347765
YojI,0.0019319969
PgsA,0.001931004
dfrA12,0.0019272744
ftsI,0.0019221639
PmrF,0.0019219944
mdtB,0.001920284
alr,0.0019152361
AAC(6')-Ib,0.0019065076
PhoP,0.001903929
